id,product_id,quantity,origin,destination
1,1,59,d5566b15-b071-4acf-8e8e-c98433083b2d,50d33715-4c77-4dd9-8b9d-ff1ca372a2a2
2,2,28,c42f0de8-b4f0-4167-abd1-ae79e5e18eea,172eb8f3-1033-4fb6-b66b-d0df09df3161
3,3,63,b145f396-de9b-42f1-9cc9-f5b52c3a941c,65e4544d-42ae-4751-9580-bdcb90e5fcda
4,4,47,f4372224-759f-43b3-bc83-ca6106bba1af,745bee4e-710c-4538-8df1-5c146e1092a6
5,5,73,49d0edae-9091-41bb-a08d-ab1c66bd08d5,425b7a1a-b744-4c6b-898e-d424dd8cf18e
6,6,35,b26d55e2-eb75-4bce-89cf-5cee095eaeea,0495233b-9470-4e1a-bb30-a1ee3150c092
7,7,5,6ae04f04-85df-4b89-b057-5cb0459baab7,b0fcee8c-9047-405c-8316-28a38292be9d
8,8,85,9a6ee454-f8ca-4a5a-b751-402ce8257b5b,5958bf67-e190-4171-91eb-298b69c89282
9,9,34,84003744-296e-4294-86a3-8a96439d4ee8,d15bcc56-8948-4c3d-98ae-925d64b3f539
10,10,88,b23deb12-0dc3-40c3-889c-8e8d3206dc4a,a22439e8-7918-4cae-806a-9f6ae0de6828
11,11,72,7cd8ea7c-cea3-46fa-a913-724d59233a43,5f3d5c26-5d8b-4e48-88b0-b89d6aa5848d
12,12,15,446119d3-b86d-4648-93e1-7c9104fe6462,7486257f-61aa-4829-bafa-3d46366ce403
13,8,68,c42e63e2-e613-45df-9321-09c58bcedcf4,a3421fb8-ec22-489a-b8b2-8760a0474175
14,13,58,742df199-0e51-44d2-93ba-a5e3885d79ed,2aba8b17-dd45-46e7-84df-701e2f319c1b
15,14,40,c32eed70-314d-4321-b3f3-ea6c673d1cd7,7563cab2-7380-4b36-a04a-624aa1cdb54c
16,10,71,2ba7bb1e-3a26-4638-850b-af1689dbf1f8,de08b73c-d432-4a4f-bb30-de1cecebb529
17,15,76,70aee49a-32ac-4b29-9f05-59de1c043a48,80aae915-f2ef-486d-b074-54106ac01532
18,16,82,fd861308-291c-435e-a11b-92cbba182fb4,c974d7dc-20af-4058-9383-01cdcd9494ad
19,17,58,6af1f98f-7555-430a-9d7f-d0f70f1b0a54,e7cb4714-32c9-476b-8af4-e994b391badc
20,18,83,73608d6a-cc61-4043-b95c-175ba478ba7c,0e00dc18-d5b9-4555-be83-cb7af77f2208
21,19,11,2316da83-4a83-497c-bdf4-55ca9e8cadb9,6d7f8b2b-42ae-4ff8-8183-26a3257a91a0
22,15,34,71a28ff5-ef5d-4279-b9b7-8afa7174f579,1e6c05e9-a48c-486c-8143-ed93c11c8b09
23,20,14,3f9c4c5a-b644-40ed-8c3e-4776bdcac303,ea316ba1-76cb-4139-b609-9c5a6d09563d
24,21,29,7103af48-0693-401e-a8a9-7063ff0d0722,7bd51828-f481-41de-97ac-8712792b2e57
25,22,31,fb374a17-e2b4-4274-b777-a09cccc8dc7b,f3a36c1d-ff0a-4ee8-b55b-7d43e8e7a73d
26,23,57,eea522eb-17c1-42e2-8e33-c33710b7d329,681aa23a-70ea-4b69-babb-3d14009779b3
27,24,38,23924ca0-acae-4a6a-aa64-8d47b169f078,69542d28-1cc7-439e-abfd-de0ea90636fb
28,15,48,6307c024-1705-4508-b05f-ac96dba72fca,73511170-19d5-4686-96d7-1dedcc3cb5cf
29,25,93,9b878a0f-d9e2-47be-bfd2-2fc381dba95a,aeda3a81-6cc3-4f26-8d5d-3abc117f4866
30,26,82,458efede-2515-46b3-87a4-9fd49e2d711b,b551ee49-8095-4c62-9876-409c029fd625
31,1,46,a8420740-3acf-4f09-8564-b2c1182b2299,dc95916d-7a45-4bb5-859c-3f2d5ad8ab14
32,4,8,42929165-b971-4546-b882-8f90e59c3e0f,53ff8d36-3cbd-47a4-9fd5-738e3b547fd7
33,18,77,53cfa054-aabc-41b6-a357-af13f2dc5770,75a59dfe-7946-4f3e-baaa-bcdf8e9a3026
34,27,70,7b346de1-fe35-4204-93d2-0cb2600b4213,0d9a9d9f-f2ea-43a0-8289-51baed42f345
35,17,71,eb1d7193-5c90-4fcf-b41b-a6a3d5f925df,3ff2bcdb-6959-44ca-b3f5-d386e1b2144b
36,23,52,f47e4ef6-e326-433f-884c-a3802095a502,a2079d4b-3e83-46b1-a176-ea43e2b931d7
37,14,52,a0d5e405-23fc-4c24-8c7f-bd0b40b3b724,a23f6c7b-888e-4fac-ae5a-1cb2a2ffcbc0
38,28,62,2ea0f049-e73e-4506-805c-4f12b4a7810b,ad4c02d5-62ae-4ddd-8df2-0a4566b4defe
39,18,23,6820af07-1d42-417d-97a3-176e30884c33,b5863d0e-93b8-41eb-b237-b92ae20513c2
40,2,75,48a1b6eb-bac0-4fe8-8dc0-dbf56a49a771,394d1002-25e7-48e0-9c3d-0f0b97eddbae
41,17,17,c7f14ee0-3187-4d74-8849-714c10e168ba,b7878195-8d8a-439e-a3b7-fc766ceb62ba
42,7,13,c3681bad-d1a9-4cc4-8d26-b00e51c0c7ee,a22b928a-a5d6-4fe8-9f7a-fab531f9543f
43,29,13,dc883f1f-7e8f-40bf-a4b0-b41328c675b6,889f6174-2256-4747-9156-8d3a3b0f5406
44,30,97,68dc7343-9c24-4c9b-bd29-acae05bf399c,dd83a1b4-c569-47a6-a705-8d424dc91fa2
45,31,31,b21bcc31-0451-4f80-963f-3087de248f8a,11d27aee-b7ce-43ba-8ddb-5a10ae151f8e
46,32,15,8dbbc936-6d70-46c8-8573-c0ca8825329f,f4cc408a-6f4f-4ebe-87f4-1f6b93ec0bee
47,26,89,1be3c9a2-37b8-4e24-a360-c4c7cc7ff713,1aa40626-9d29-4a29-a815-7788529a3a74
48,16,89,d808ffd0-d467-4bcc-8449-9e748b4a04ce,a1316db2-ab92-4569-9538-bf63f43e6a0b
49,2,52,7e79d23c-8877-4200-aeee-35a5934db1df,c9943890-9047-4346-87b2-77ddbb997350
50,14,9,4ece87fd-d687-4fa1-a217-7822923a1ade,f609d6d9-d7fa-4f5b-9dec-d4f016d1fa48
51,6,92,98811bfd-37d0-4895-bbeb-e8235602abbd,3c0effcc-e964-4631-975a-921cc9cda9d5
